PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,124965759,49839304,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)CCl)C(F)(F)F,Active,,,Potential missing data,Activity,Active
2,124968672,2810973,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C(F)(F)F)C(F)(F)F,Active,,,Potential missing data,Activity,Active
