PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,,,Potential missing data,Activity,Active
2,440113473,124203920,CCOC(=O)NC1=C(C(=C(C=C1)NCC2=CC=C(C=C2)C(F)(F)F)F)N,Active,,,Potential missing data,Activity,Active
3,482081255,148983099,CC(C)(C)CC(=O)NC1=C(C(=C(C=C1)NCC2=CC=C(C=C2)C(F)(F)F)F)N,Active,,,Potential missing data,Activity,Active
