PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,124973901,51351552,C1=CC=C2C(=C1)C=CC=C2C3=C(NN4C3=NC(=CC4=O)C5=CC(=C(N=C5Cl)Cl)F)C(F)(F)F,Active,,,Potential missing data,Activity,Active
2,124976248,51351551,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC(=C(N=C4Cl)Cl)F)C(F)(F)F,Active,,,Potential missing data,Activity,Active
